route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
4050011,21613,15970487,NICOSIA/KOLOKASI,4050011,0
4050012,21613,15970488,KAKOPETRIA,4050012,1
4050011,21613,15970489,NICOSIA/KOLOKASI,4050011,0
4050012,21613,15970490,KAKOPETRIA,4050012,1
740012,21613,15970491,Anthoupoli,740012,1
740011,21613,15970492,Kokkinotrimithia,740011,0
740012,21613,15970493,Anthoupoli,740012,1
740011,21613,15970494,Kokkinotrimithia,740011,0
740012,21613,15970495,Anthoupoli,740012,1
740011,21613,15970496,Kokkinotrimithia,740011,0
740012,21613,15970497,Anthoupoli,740012,1
740011,21613,15970498,Kokkinotrimithia,740011,0
740012,21613,15970499,Anthoupoli,740012,1
740011,21613,15970500,Kokkinotrimithia,740011,0
740012,21613,15970501,Anthoupoli,740012,1
740011,21613,15970502,Kokkinotrimithia,740011,0
740012,21613,15970503,Anthoupoli,740012,1
740011,21613,15970504,Kokkinotrimithia,740011,0
650011,21613,15970505,Tamasos Bus St.,650011,0
650012,21613,15970506, Kampi,650012,1
520022,21613,15970507,Potamia,520022,1
520021,21613,15970508,Alampra Station,520021,0
770011,21613,15970509,Astromeritis,770011,0
770012,21613,15970510,Nikitari,770012,1
770011,21613,15970511,Astromeritis,770011,0
770012,21613,15970512,Nikitari,770012,1
770011,21613,15970513,Astromeritis,770011,0
770012,21613,15970514,Nikitari,770012,1
770011,21613,15970515,Astromeritis,770011,0
770012,21613,15970516,Nikitari,770012,1
770011,21613,15970517,Astromeritis,770011,0
770012,21613,15970518,Nikitari,770012,1
630032,21613,15970519,Fterikoudi,630032,1
630031,21613,15970520,Tamasos Station,630031,0
710012,21613,15970521,Mammari,710012,1
710011,21613,15970522,Kokkinotrimithia,710011,0
710012,21613,15970523,Mammari,710012,1
710011,21613,15970524,Kokkinotrimithia,710011,0
710012,21613,15970525,Mammari,710012,1
710011,21613,15970526,Kokkinotrimithia,710011,0
840012,21613,15970527,Galata,840012,1
840011,21613,15970528,Evrychou,840011,0
840012,21613,15970529,Galata,840012,1
840011,21613,15970530,Evrychou,840011,0
840012,21613,15970531,Galata,840012,1
840011,21613,15970532,Evrychou,840011,0
840012,21613,15970533,Galata,840012,1
840011,21613,15970534,Evrychou,840011,0
840012,21613,15970535,Galata,840012,1
840011,21613,15970536,Evrychou,840011,0
840012,21613,15970537,Galata,840012,1
840011,21613,15970538,Evrychou,840011,0
840022,21613,15970539,Kaliana - Galata,840022,1
840011,21613,15970540,Evrychou,840011,0
620011,21613,15970541,Tamasos Bus St.,620011,0
620012,21613,15970542,Palaichori,620012,1
510012,21613,15970543,Sia,510012,1
510011,21613,15970544,Alampra Bus St.,510011,0
510012,21613,15970545,Sia,510012,1
510011,21613,15970546,Alampra Bus St.,510011,0
510012,21613,15970547,Sia,510012,1
510011,21613,15970548,Alampra Bus St.,510011,0
510012,21613,15970549,Sia,510012,1
510011,21613,15970550,Alampra Bus St.,510011,0
