route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
20260011,21712,16062300,KOFINOU ST.,20260011,0
20260012,21712,16062301,MARI,20260012,1
20260011,21712,16062302,KOFINOU ST.,20260011,0
20260012,21712,16062303,MARI,20260012,1
20280011,21712,16062304,KOFINOU STATION,20280011,0
20280012,21712,16062305,ODOU,20280012,1
20280011,21712,16062306,KOFINOU STATION,20280011,0
20280012,21712,16062307,ODOU,20280012,1
20280011,21712,16062308,KOFINOU STATION,20280011,0
20280012,21712,16062309,ODOU,20280012,1
20280011,21712,16062310,KOFINOU STATION,20280011,0
20280012,21712,16062311,ODOU,20280012,1
20340011,21712,16062312,KOFINOU ST.,20340011,0
20340012,21712,16062313,LARNACA ST.,20340012,1
20340011,21712,16062314,KOFINOU ST.,20340011,0
20340012,21712,16062315,LARNACA ST.,20340012,1
20340011,21712,16062316,KOFINOU ST.,20340011,0
20340012,21712,16062317,LARNACA ST.,20340012,1
20340011,21712,16062318,KOFINOU ST.,20340011,0
20340012,21712,16062319,LARNACA ST.,20340012,1
20080021,21712,16062320,Kamares-TradeZone,20080021,0
20080021,21712,16062321,Kamares-TradeZone,20080021,0
20090011,21712,16062322,VERGINA,20090011,0
20090012,21712,16062323,LARNACA STATION,20090012,1
20290011,21712,16062324,KOFINOU ST.,20290011,0
20290012,21712,16062325,AGIOI VAVATSINIAS,20290012,1
20290011,21712,16062326,KOFINOU ST.,20290011,0
20290012,21712,16062327,AGIOI VAVATSINIAS,20290012,1
20290011,21712,16062328,KOFINOU ST.,20290011,0
20290012,21712,16062329,AGIOI VAVATSINIAS,20290012,1
20290011,21712,16062330,KOFINOU ST.,20290011,0
20290012,21712,16062331,AGIOI VAVATSINIAS,20290012,1
20300021,21712,16062332,Alampra Station,20300021,0
20300022,21712,16062333,Vavatsinia,20300022,1
20300021,21712,16062334,Alampra Station,20300021,0
20300022,21712,16062335,Vavatsinia,20300022,1
20300021,21712,16062336,Alampra Station,20300021,0
20300022,21712,16062337,Vavatsinia,20300022,1
20300021,21712,16062338,Alampra Station,20300021,0
20300022,21712,16062339,Vavatsinia,20300022,1
20060011,21712,16062340,TERSEFANOU,20060011,0
20060012,21712,16062341,LARNACA STATION,20060012,1
20270011,21712,16062342,KOFINOU STATION,20270011,0
20270012,21712,16062343,MARONI,20270012,1
20270011,21712,16062344,KOFINOU STATION,20270011,0
20270012,21712,16062345,MARONI,20270012,1
20070011,21712,16062346,KALO CHORIO,20070011,0
20070022,21712,16062347,Larnaca Station,20070022,1
20070011,21712,16062348,KALO CHORIO,20070011,0
20070012,21712,16062349,LARNACA STATION,20070012,1
20320011,21712,16062350,KOFINOU STATION,20320011,0
20320012,21712,16062351,PENTASCHINOS,20320012,1
20320011,21712,16062352,KOFINOU STATION,20320011,0
20320012,21712,16062353,PENTASCHINOS,20320012,1
20320011,21712,16062354,KOFINOU STATION,20320011,0
20320012,21712,16062355,PENTASCHINOS,20320012,1
20320011,21712,16062356,KOFINOU STATION,20320011,0
20320012,21712,16062357,PENTASCHINOS,20320012,1
20320011,21712,16062358,KOFINOU STATION,20320011,0
20330012,21712,16062359,LARNACA STATION,20330012,1
